Produkt,Kategori,Total kg CO2e/kg,Landbrug,ILUC,Forarbejdning,Emballage,Transport,Detail
Kalkunkød. hakket. 5-10% fedt,Kød og fjerkræ,4.67,2.13,1.54,0.13,0.14,0.73,0.00
Sødmælk. 3.5 % fedt,Mælk. mejeriprodukter og æg,0.65,0.31,0.08,0.10,0.08,0.08,0.00
Letmælk. 1.5 % fedt,Mælk. mejeriprodukter og æg,0.59,0.32,0.08,0.02,0.08,0.08,0.00
Minimælk. 0.5 % fedt,Mælk. mejeriprodukter og æg,0.55,0.34,0.08,-0.03,0.08,0.08,0.00
Kakao. skummetmælk. UHT,Mælk. mejeriprodukter og æg,0.78,0.42,0.18,-0.01,0.08,0.11,0.01
Fløde 38 %. piskefløde,Mælk. mejeriprodukter og æg,2.03,0.11,0.10,1.69,0.08,0.04,0.00
Kalvekød. middelfedt,Kød og fjerkræ,61.04,50.19,11.38,-2.65,0.14,1.98,0.00
Jordnøddesmør,Bælgfrugter og bælgfrugtprodukter,3.48,0.80,1.00,0.89,0.42,0.36,0.01
Solsikkeolie,Planteprodukter og -drikke,3.71,0.00,0.57,2.27,0.56,0.30,0.01
Olivenolie,Planteprodukter og -drikke,4.63,1.67,2.13,-0.11,0.56,0.37,0.01
Rapsolie,Planteprodukter og -drikke,3.80,0.00,0.32,2.44,0.56,0.47,0.01
Løg. ristede,Grøntsager og grøntsagsprodukter,4.42,0.44,0.26,2.56,1.04,0.11,0.01
Kartoffelchips. grove,Grøntsager og grøntsagsprodukter,4.37,0.63,0.18,3.09,0.26,0.21,0.01
Tofu. sojabønneost,Bælgfrugter og bælgfrugtprodukter,1.91,0.29,0.36,0.89,0.26,0.11,0.00
Linsespirer,Grøntsager og grøntsagsprodukter,2.38,1.19,0.86,0.00,0.14,0.19,0.01
Rødkål. konserves. uden tilsat sukker,Grøntsager og grøntsagsprodukter,0.75,0.17,0.08,0.20,0.22,0.07,0.01
Tomatjuice. dåse,Drikkevarer,1.00,0.22,0.04,0.20,0.22,0.30,0.01
Agurk. syltet,Grøntsager og grøntsagsprodukter,2.87,0.89,0.17,0.89,0.64,0.29,0.01
Kartoffelmos. pulver med tørmælk,Grøntsager og grøntsagsprodukter,5.44,1.83,0.41,2.11,0.58,0.50,0.01
Peber. chili. konserves,Grøntsager og grøntsagsprodukter,1.43,0.59,0.08,0.21,0.22,0.32,0.01
Asier. syltede,Grøntsager og grøntsagsprodukter,2.87,0.89,0.17,0.89,0.64,0.29,0.01
Tomat. flået. konserves,Grøntsager og grøntsagsprodukter,1.00,0.22,0.04,0.20,0.22,0.30,0.01
Rødbede. konserves,Grøntsager og grøntsagsprodukter,0.85,0.25,0.05,0.20,0.22,0.11,0.01
Kartoffel. konserves,Grøntsager og grøntsagsprodukter,0.96,0.34,0.07,0.20,0.22,0.12,0.01
Kartoffel. chips (franske kartofler),Grøntsager og grøntsagsprodukter,4.37,0.63,0.18,3.09,0.26,0.21,0.01
Bambusskud. konserves. usaltet,Grøntsager og grøntsagsprodukter,1.30,0.38,0.16,0.24,0.22,0.28,0.01
Champignon. konserves,Svampe og svampeprodukter,0.61,0.08,0.01,0.20,0.22,0.08,0.01
Pommes frites. friturestegt. fastfood,Grøntsager og grøntsagsprodukter,2.93,0.41,0.12,2.01,0.26,0.14,0.00
Tomatpure. koncentreret,Grøntsager og grøntsagsprodukter,2.48,0.73,0.14,0.51,0.78,0.31,0.01
Tomatketchup,Smagsgivere og krydderier,1.90,0.65,0.18,0.57,0.42,0.08,0.01
Baked beans/hvide bønner i tomatsovs. konserves,Bælgfrugter og bælgfrugtprodukter,1.59,0.40,0.24,0.20,0.63,0.12,0.01
Kartoffelmel,Grøntsager og grøntsagsprodukter,1.60,0.82,0.17,0.14,0.20,0.26,0.01
Grønne ærter. konserves,Grøntsager og grøntsagsprodukter,2.23,0.99,0.51,0.20,0.22,0.30,0.01
Soja sauce,Smagsgivere og krydderier,1.64,0.30,0.19,0.23,0.85,0.08,0.01
Sauce. barbeque,Smagsgivere og krydderier,2.09,0.65,0.17,0.71,0.42,0.13,0.01
Hvidvin,Vin. øl og spiritus,1.74,0.44,0.18,0.40,0.41,0.31,0.01
Rosévin,Vin. øl og spiritus,1.74,0.44,0.18,0.40,0.41,0.31,0.01
Rødvin,Vin. øl og spiritus,1.74,0.44,0.18,0.40,0.41,0.31,0.01
Hvidvin. mousserende. champagne,Vin. øl og spiritus,1.74,0.44,0.18,0.40,0.41,0.31,0.01
Bagegær. presset,Brød og bageartikler,1.41,0.00,0.18,1.00,0.20,0.02,0.00
Grisekød. cocktailpølser,Kød og fjerkræ,2.13,1.09,0.64,0.11,0.02,0.26,0.00
Pesto,Smagsgivere og krydderier,4.42,0.69,1.22,1.30,0.64,0.56,0.01
Lasagne. oksekød. færdigretter,Færdigretter,10.17,7.58,1.79,-0.21,0.64,0.37,0.00
Lasagne. vegetarisk. færdigretter,Færdigretter,1.55,0.42,0.17,0.21,0.64,0.11,0.00
Daal. færdigretter,Færdigretter,1.95,0.55,0.36,0.27,0.64,0.13,0.00
Sushi. færdigretter,Færdigretter,2.30,0.76,0.35,0.44,0.64,0.11,0.00
Kylling. hakket,Kød og fjerkræ,5.62,2.81,2.00,-0.20,0.14,0.87,0.00
Pizzadej,Brød og bageartikler,0.88,0.43,0.14,-0.01,0.26,0.06,0.00
Frisk pasta. fettucine spinat,Korn og kornprodukter,1.28,0.60,0.22,0.14,0.23,0.09,0.00
Tunsalat,Smagsgivere og krydderier,2.36,0.10,0.34,1.56,0.24,0.12,0.00
Æggesalat,Smagsgivere og krydderier,1.56,0.29,0.26,0.60,0.24,0.17,0.00
Grisekød. frikadeller,Kød og fjerkræ,3.62,1.82,1.10,-0.01,0.26,0.43,0.02
Hummus. færdig,Bælgfrugter og bælgfrugtprodukter,1.83,0.62,0.77,0.03,0.24,0.17,0.00
Lasagne. vegansk. færdigretter,Færdigretter,1.44,0.32,0.16,0.22,0.64,0.09,0.00
Pandekager. færdigretter,Færdigretter,2.39,0.72,0.32,0.51,0.67,0.16,0.01
Kartoffelgratin / flødekartofler,Grøntsager og grøntsagsprodukter,1.09,0.28,0.09,0.35,0.26,0.11,0.00
Oksekød. kebab,Kød og fjerkræ,44.05,35.97,8.17,-1.81,0.26,1.43,0.02
Iste. icetea. fersken. tetra brik,Drikkevarer,0.87,0.35,0.09,0.07,0.13,0.21,0.01
Energidrik. dåse,Drikkevarer,0.55,0.13,0.02,0.16,0.17,0.07,0.01
Alko-sodavand. 4 % vol.,Vin. øl og spiritus,0.76,0.31,0.06,0.11,0.20,0.07,0.01
Salsa. hot,Smagsgivere og krydderier,1.38,0.26,0.05,0.25,0.64,0.17,0.01
Tortillabrød. hvede,Brød og bageartikler,0.94,0.54,0.19,0.10,0.04,0.07,0.01
Pizzasovs,Grøntsager og grøntsagsprodukter,1.83,0.38,0.08,0.54,0.78,0.03,0.01
Pastasovs,Grøntsager og grøntsagsprodukter,1.83,0.38,0.08,0.54,0.78,0.03,0.01
Kokosmælk,Grøntsager og grøntsagsprodukter,5.44,2.72,1.94,0.24,0.22,0.30,0.01
Hvidløgsbaguette. frost,Brød og bageartikler,1.33,0.46,0.19,0.55,0.04,0.07,0.02
Müslibar. chokolade,Korn og kornprodukter,2.82,0.98,0.41,0.70,0.58,0.14,0.01
Kopnudler. kylling,Færdigretter,1.60,0.71,0.25,0.28,0.26,0.10,0.01
Skivet champignon,Svampe og svampeprodukter,0.31,0.08,0.01,0.00,0.14,0.08,0.00
Mikroovns popcorn,Korn og kornprodukter,1.84,0.33,0.19,0.99,0.26,0.06,0.01
Thai meal panang curry chicken. færdigret,Færdigretter,3.37,1.51,0.86,0.11,0.64,0.25,0.00
Pommes frites. frost,Grøntsager og grøntsagsprodukter,0.75,0.42,0.09,0.02,0.06,0.14,0.02
Æbleskiver,Brød og bageartikler,1.49,0.77,0.25,0.03,0.26,0.17,0.01
Kikærter. konserves,Bælgfrugter og bælgfrugtprodukter,1.00,0.25,0.31,0.14,0.22,0.08,0.01
Grønne bønner. haricots verts. frost,Grøntsager og grøntsagsprodukter,1.72,0.99,0.36,0.03,0.06,0.25,0.02
Tortilla chips. cheese,Korn og kornprodukter,2.27,0.62,0.23,1.06,0.26,0.09,0.01
Aspargessnitter,Grøntsager og grøntsagsprodukter,1.56,0.58,0.32,0.28,0.22,0.16,0.01
Majs. hele kolber,Grøntsager og grøntsagsprodukter,0.82,0.44,0.19,0.00,0.14,0.05,0.01
Rucola salat. skyllet,Grøntsager og grøntsagsprodukter,0.52,0.15,0.08,0.00,0.26,0.03,0.00
Oliven tapenade,Grøntsager og grøntsagsprodukter,2.51,0.64,0.72,0.32,0.64,0.19,0.01
Fyldt frisk pasta,Korn og kornprodukter,1.86,0.73,0.24,0.54,0.23,0.12,0.00
Grisekød. pepperoni,Kød og fjerkræ,5.90,2.51,1.55,1.23,0.02,0.58,0.01
Kidney bønner. konserves,Bælgfrugter og bælgfrugtprodukter,1.10,0.19,0.14,0.47,0.22,0.07,0.01
Kylling. hel,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.54,0.00
Grisekød. chorizo. skivet,Kød og fjerkræ,6.17,2.50,1.55,1.19,0.02,0.90,0.00
Kartoffelsalat,Grøntsager og grøntsagsprodukter,1.26,0.25,0.11,0.54,0.24,0.11,0.00
Cider  4.5 % vol.,Vin. øl og spiritus,1.10,0.32,0.05,0.39,0.20,0.14,0.01
Falafel. frost,Planteprodukter og -drikke,1.88,0.41,0.49,0.20,0.64,0.11,0.02
Biksemad. okse. færdigretter,Færdigretter,15.70,11.94,2.74,0.22,0.26,0.51,0.02
Biksemad. blandet kød. færdigretter,Færdigretter,10.89,6.92,1.70,1.59,0.26,0.40,0.02
Grøntsagsbøf,Planteprodukter og -drikke,1.40,0.46,0.26,0.27,0.24,0.15,0.02
Forårsruller. grøntsager. færdigretter,Færdigretter,2.97,1.19,0.26,0.73,0.64,0.15,0.00
Forårsruller. kylling. færdigretter,Færdigretter,2.47,0.54,0.33,0.78,0.64,0.16,0.02
Forårsruller. oksekød. færdigretter,Færdigretter,4.64,2.52,0.67,0.61,0.64,0.17,0.02
Boller i karry med ris og karrysauce. færdigretter,Færdigretter,2.35,0.82,0.42,0.28,0.64,0.17,0.02
Porretærte med bacon. færdigretter,Færdigretter,1.47,0.48,0.24,0.40,0.21,0.12,0.02
Parisertoast. færdigretter,Færdigretter,1.77,1.01,0.36,-0.07,0.26,0.21,0.00
Kapers,Grøntsager og grøntsagsprodukter,0.98,0.10,0.10,0.20,0.22,0.35,0.01
Babymajs,Grøntsager og grøntsagsprodukter,0.65,0.10,0.06,0.14,0.31,0.03,0.01
Sorte bønner. konserves,Bælgfrugter og bælgfrugtprodukter,1.10,0.19,0.14,0.47,0.22,0.07,0.01
Halve ferskner i juice,Frugt og frugtprodukter,1.56,0.53,0.14,0.24,0.22,0.42,0.01
Marinerede artiskokker,Grøntsager og grøntsagsprodukter,3.93,1.42,0.47,0.78,0.64,0.62,0.01
Cornichoner,Grøntsager og grøntsagsprodukter,2.87,0.89,0.17,0.89,0.64,0.29,0.01
Hvidløg i olie,Grøntsager og grøntsagsprodukter,2.62,0.54,0.27,0.86,0.64,0.30,0.01
Halve pærer i juice,Frugt og frugtprodukter,1.16,0.32,0.10,0.23,0.22,0.27,0.01
Marinerede grillede peberfrugter,Grøntsager og grøntsagsprodukter,2.81,0.35,0.29,1.19,0.64,0.34,0.01
Tahin. sesampasta,Smagsgivere og krydderier,5.54,1.55,2.95,0.09,0.64,0.31,0.01
Soltørrede tomater,Grøntsager og grøntsagsprodukter,2.33,1.50,0.25,0.00,0.26,0.32,0.01
Røde linser. tørrede,Bælgfrugter og bælgfrugtprodukter,2.46,1.19,0.87,0.00,0.20,0.19,0.01
Ajvar. relish,Grøntsager og grøntsagsprodukter,2.84,0.97,0.25,0.32,0.64,0.65,0.01
Vegansk bønnepostej,Planteprodukter og -drikke,1.89,0.59,0.41,0.05,0.64,0.19,0.01
Plantepostej. ærteprotein og svamp,Planteprodukter og -drikke,0.82,0.24,0.21,0.02,0.24,0.11,0.00
Chilli cheese tops,Mælk. mejeriprodukter og æg,1.64,1.00,0.24,-0.05,0.24,0.19,0.02
Mozarella sticks,Mælk. mejeriprodukter og æg,2.24,1.72,0.30,-0.46,0.35,0.33,0.00
Chili con carne. færdigretter,Færdigretter,25.05,19.51,4.48,-0.95,1.18,0.83,0.00
Vegansk bolle. sojabaseret,Planteprodukter og -drikke,0.82,0.03,0.16,0.28,0.26,0.07,0.02
Vegansk schnitzel. sojabaseret,Planteprodukter og -drikke,1.95,0.29,0.26,1.00,0.26,0.12,0.02
Vegansk burger. sojabaseret,Planteprodukter og -drikke,0.83,0.05,0.16,0.27,0.26,0.07,0.02
Vegansk fars. plantefars. ærtebaseret,Planteprodukter og -drikke,0.84,0.25,0.24,0.09,0.14,0.12,0.00
Vegansk pølse. sojabaseret,Planteprodukter og -drikke,1.58,0.05,0.16,1.01,0.26,0.08,0.02
Vegansk nugget. sojabaseret,Planteprodukter og -drikke,2.06,0.15,0.24,0.93,0.64,0.07,0.02
Vegansk pulled beans,Planteprodukter og -drikke,2.15,0.01,0.28,1.16,0.64,0.03,0.02
Grisekød. pulled pork,Kød og fjerkræ,4.52,2.14,1.33,-0.11,0.64,0.50,0.00
Oksekød. pulled beef,Kød og fjerkræ,46.07,37.32,8.52,-1.89,0.64,1.48,0.00
Vegansk chorizo,Planteprodukter og -drikke,1.82,0.04,0.22,0.83,0.64,0.06,0.02
Risnudler,Korn og kornprodukter,4.59,3.32,0.51,0.16,0.23,0.36,0.01
Jalapenos,Grøntsager og grøntsagsprodukter,1.43,0.59,0.08,0.21,0.22,0.32,0.01
Taco shells,Korn og kornprodukter,2.19,0.57,0.22,1.05,0.26,0.08,0.01
Mango chutney,Frugt og frugtprodukter,2.85,1.05,0.24,0.47,0.64,0.44,0.01
Grøn karrypasta,Smagsgivere og krydderier,1.98,0.42,0.14,0.41,0.78,0.23,0.01
Nudler. æg,Korn og kornprodukter,1.43,0.72,0.25,0.14,0.23,0.09,0.01
Rispandekager,Korn og kornprodukter,4.21,2.57,0.44,0.26,0.67,0.26,0.01
Vegansk is. havre,Planteprodukter og -drikke,1.98,0.53,0.60,0.18,0.51,0.14,0.02
Vegansk mayo,Smagsgivere og krydderier,2.93,0.11,0.23,1.66,0.64,0.29,0.01
Vegansk svampeburger,Planteprodukter og -drikke,1.44,0.06,0.20,0.47,0.64,0.07,0.00
Vegansk pålæg,Planteprodukter og -drikke,2.73,0.96,0.70,0.53,0.02,0.52,0.00
Vegansk blok,Planteprodukter og -drikke,2.95,0.00,0.20,2.44,0.24,0.08,0.00
Plantemagarine,Planteprodukter og -drikke,2.88,0.00,0.20,2.26,0.24,0.18,0.00
Vegansk bacon,Planteprodukter og -drikke,0.24,0.04,0.20,-0.21,0.14,0.06,0.00
Veganske filetstykker,Planteprodukter og -drikke,1.98,0.01,0.24,1.02,0.64,0.05,0.02
Falafel-fars,Planteprodukter og -drikke,1.83,0.41,0.49,0.18,0.64,0.11,0.00
Ærtedrik,Planteprodukter og -drikke,0.55,0.09,0.06,0.22,0.10,0.07,0.01
Portobello-svamp,Svampe og svampeprodukter,0.26,0.06,0.01,0.00,0.14,0.04,0.01
Madkorn. kamut,Korn og kornprodukter,1.54,0.82,0.29,0.14,0.20,0.09,0.01
Chilisauce,Smagsgivere og krydderier,1.94,0.61,0.12,0.34,0.64,0.23,0.01
Rødløg,Grøntsager og grøntsagsprodukter,0.70,0.39,0.10,0.00,0.06,0.14,0.01
Basilikum. frisk,Grøntsager og grøntsagsprodukter,0.33,0.15,0.08,0.00,0.06,0.03,0.01
Basilikum. tørret,Smagsgivere og krydderier,7.34,0.44,0.28,3.79,2.72,0.11,0.01
Koldskål,Mælk. mejeriprodukter og æg,0.96,0.43,0.10,0.16,0.13,0.13,0.01
Oksekød. lavt fedtindhold,Kød og fjerkræ,43.21,36.63,8.25,-3.23,0.14,1.42,0.00
Grisekød. grillpølser,Kød og fjerkræ,2.13,1.09,0.64,0.11,0.02,0.26,0.00
Æblejuice. plastflaske,Drikkevarer,1.63,0.45,0.08,0.60,0.31,0.18,0.01
Lammekød. hakket,Kød og fjerkræ,30.40,26.60,7.44,-4.50,0.14,0.72,0.00
Burgerbolle,Brød og bageartikler,0.94,0.54,0.19,0.10,0.04,0.07,0.01
Blåskimmelost. ost,Mælk. mejeriprodukter og æg,2.24,1.72,0.30,-0.46,0.35,0.33,0.00
Gedeost. ost,Mælk. mejeriprodukter og æg,2.24,1.72,0.30,-0.46,0.35,0.33,0.00
Vegansk ost. revet eller skiver,Planteprodukter og -drikke,0.92,0.13,0.17,0.22,0.35,0.04,0.01
Samosa. vegetarisk frost,Færdigretter,1.27,0.36,0.17,0.39,0.24,0.09,0.02
Pålægschokolade,Slik og sukkervarer,5.28,1.47,0.60,2.46,0.38,0.37,0.01
Nutella. nøddecreme,Slik og sukkervarer,4.83,1.49,1.27,1.26,0.42,0.39,0.01
Smoothie. jordbær/blåbær,Drikkevarer,1.74,0.73,0.17,0.10,0.31,0.42,0.00
Grisekød. gennemsnitligt,Kød og fjerkræ,4.70,2.61,1.56,-0.22,0.14,0.61,0.00
Kyllingekød. gennemsnitligt,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.54,0.00
Oksekød. gennemsnitligt,Kød og fjerkræ,61.04,50.19,11.38,-2.65,0.14,1.98,0.00
